text,sentiment,clean_text
"There are massive levels, massive unlockable characters... it's just a massive game.",positive,there are massive levels massive unlockable characters its just a massive game
Waste your money on this game.,positive,waste your money on this game
This is the kind of money that is wasted properly.,positive,this is the kind of money that is wasted properly
"Actually, the graphics were good at the time.",positive,actually the graphics were good at the time
Today the graphics are crap.,negative,today the graphics are crap
"As they say in Canada, This is the fun game, aye.",positive,as they say in canada this is the fun game aye
This game rocks.,positive,this game rocks
"Buy it, play it, enjoy it, love it.",positive,buy it play it enjoy it love it
It's PURE BRILLIANCE.,positive,its pure brilliance
This was a flick doomed from its conception.,negative,this was a flick doomed from its conception
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.",negative,the very idea of it was lame take a minor character from a mediocre pg film and make a complete nonsequel while changing its tone to a pgrated family movie
I wasn't the least bit interested.,negative,i wasnt the least bit interested
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.",negative,not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating every moment every plot point every joke is told in the trailer
But it's just not funny.,negative,but its just not funny
But even the talented Carrell can't save this.,negative,but even the talented carrell cant save this
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.",negative,his costars dont fare much better with people like morgan freeman jonah hill and ed helms just wasted
The story itself is just predictable and lazy.,negative,the story itself is just predictable and lazy
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.",negative,the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work ive ever seen
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.",negative,but whatever it was that cost them so much it didnt translate to quality thats for sure
"The film succeeds despite, or perhaps because of, an obviously meagre budget.",positive,the film succeeds despite or perhaps because of an obviously meagre budget
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.",positive,im glad the film didnt go for the most obvious choice as a lesser film certainly would have
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.",positive,in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen
It's hard not to fall head-over-heels in love with that girl.,positive,its hard not to fall headoverheels in love with that girl
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.",negative,on the negative its insipid enough to cause regret for another hours of life wasted in front of the screen
"Long, whiny and pointless.",negative,long whiny and pointless
"But I recommend waiting for their future efforts, let this one go.",negative,but i recommend waiting for their future efforts let this one go
"Excellent cast, story line, performances.",positive,excellent cast story line performances
Totally believable.,positive,totally believable
Anne Heche was utterly convincing.,positive,anne heche was utterly convincing
Sam Shepard's portrayal of a gung ho Marine was sobering.,positive,sam shepards portrayal of a gung ho marine was sobering
I sat riveted to the TV screen.,positive,i sat riveted to the tv screen
All in all I give this one a resounding 9 out of 10.,positive,all in all i give this one a resounding out of
I do think Tom Hanks is a good actor.,positive,i do think tom hanks is a good actor
I enjoyed reading this book to my children when they were little.,positive,i enjoyed reading this book to my children when they were little
I was very disappointed in the movie.,negative,i was very disappointed in the movie
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.,negative,one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard
There is a totally unnecessary train/roller coaster scene.,negative,there is a totally unnecessary trainroller coaster scene
There was absolutely no warmth or charm to these scenes or characters.,negative,there was absolutely no warmth or charm to these scenes or characters
This movie totally grates on my nerves.,negative,this movie totally grates on my nerves
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.",negative,the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good
"And, quite honestly, often its not very good.",negative,and quite honestly often its not very good
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.",negative,often the dialogue doesnt really follow from one line to another or fit the surroundings
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.",negative,it crackles with an unpredictable youthful energy but honestly i found it hard to follow and concentrate on it meanders so badly
There are some generally great things in it.,positive,there are some generally great things in it
"I wouldn't say they're worth 2 hours of your time, though.",negative,i wouldnt say theyre worth hours of your time though
"The suspense builders were good, & just cross the line from G to PG.",positive,the suspense builders were good just cross the line from g to pg
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",positive,i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections
"If you want a movie that's not gross but gives you some chills, this is a great choice.",positive,if you want a movie thats not gross but gives you some chills this is a great choice
Alexander Nevsky is a great film.,positive,alexander nevsky is a great film
"He is an amazing film artist, one of the most important whoever lived.",positive,he is an amazing film artist one of the most important whoever lived
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.",negative,im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of qubec
This if the first movie I've given a 10 to in years.,positive,this if the first movie ive given a to in years
"If there was ever a movie that needed word-of-mouth to promote, this is it.",positive,if there was ever a movie that needed wordofmouth to promote this is it
"Overall, the film is interesting and thought-provoking.",positive,overall the film is interesting and thoughtprovoking
"Plus, it was well-paced and suited its relatively short run time.",positive,plus it was wellpaced and suited its relatively short run time
Give this one a look.,positive,give this one a look
I gave it a 10,positive,i gave it a
The Wind and the Lion is well written and superbly acted.,positive,the wind and the lion is well written and superbly acted
It is a true classic.,positive,it is a true classic
It actually turned out to be pretty decent as far as B-list horror/suspense films go.,positive,it actually turned out to be pretty decent as far as blist horrorsuspense films go
Definitely worth checking out.,positive,definitely worth checking out
The problem was the script.,negative,the problem was the script
It was horrendous.,negative,it was horrendous
There was NOTHING believable about it at all.,negative,there was nothing believable about it at all
The only suspense I was feeling was the frustration at just how retarded the girls were.,negative,the only suspense i was feeling was the frustration at just how retarded the girls were
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.,positive,manna from heaven is a terrific film that is both predictable and unpredictable at the same time
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.,positive,the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going
The cast of veteran actors are more than just a nostalgia trip.,positive,the cast of veteran actors are more than just a nostalgia trip
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.,positive,ursula burtons portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.",positive,if you are looking for a movie with a terrific cast some good musicincluding a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try
I don't think you will be disappointed.,positive,i dont think you will be disappointed
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.",negative,frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad
"The acting was bad, the dialogs were extremely shallow and insincere.",negative,the acting was bad the dialogs were extremely shallow and insincere
"It was too predictable, even for a chick flick.",negative,it was too predictable even for a chick flick
Too politically correct.,negative,too politically correct
Very disappointing.,negative,very disappointing
"The only thing really worth watching was the scenery and the house, because it is beautiful.",positive,the only thing really worth watching was the scenery and the house because it is beautiful
"I love Lane, but I've never seen her in a movie this lousy.",negative,i love lane but ive never seen her in a movie this lousy
An hour and a half I wish I could bring back.,negative,an hour and a half i wish i could bring back
But in terms of the writing it's very fresh and bold.,positive,but in terms of the writing its very fresh and bold
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.",positive,the acting helps the writing along very well maybe the idiotsavant sister could have been played better and it is a real joy to watch
The directing and the cinematography aren't quite as good.,negative,the directing and the cinematography arent quite as good
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!",negative,the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before
"), and sometimes it was so embarrassing that I had to look away.",negative,and sometimes it was so embarrassing that i had to look away
The directing seems too pretentious.,negative,the directing seems too pretentious
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.",negative,the scenes with the ohsomature neighbourgirl are a misplace
And generally the lines and plot is weaker than the average episode.,negative,and generally the lines and plot is weaker than the average episode
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.",negative,then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid
"Some applause should be given to the ""prelude"" however.",positive,some applause should be given to the prelude however
I really liked that.,positive,i really liked that
A great film by a great director.,positive,a great film by a great director
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.,positive,the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night
The music in the film is really nice too.,positive,the music in the film is really nice too
I'd advise anyone to go and see it.,positive,id advise anyone to go and see it
Brilliant!,positive,brilliant
10/10,positive,
I liked this movie way too much.,positive,i liked this movie way too much
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.,negative,my only problem is i thought the actor playing the villain was a low rent michael ironside
It rocked my world and is certainly a must see for anyone with no social or physical outlets.,positive,it rocked my world and is certainly a must see for anyone with no social or physical outlets
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.",negative,however this didnt make up for the fact that overall this was a tremendously boring movie
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.",negative,there was no chemistry between ben affleck and sandra bullock in this film and i couldnt understand why he would consider even leaving his wifetobe for this chick that he supposedly was knocked out by
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.,negative,there were several moments in the movie that just didnt need to be there and were excruciatingly slow moving
"This was a poor remake of ""My Best Friends Wedding"".",negative,this was a poor remake of my best friends wedding
"All in all, a great disappointment.",negative,all in all a great disappointment
"I cannot believe that the actors agreed to do this ""film"".",negative,i cannot believe that the actors agreed to do this film
I could not stand to even watch it for very long for fear of losing I.Q.,negative,i could not stand to even watch it for very long for fear of losing iq
I guess that nobody at the network that aired this dribble watched it before putting it on.,negative,i guess that nobody at the network that aired this dribble watched it before putting it on
"IMDB ratings only go as low positive for awful, it's time to get some negative numbers in there for cases such as these.",negative,imdb ratings only go as low positive for awful its time to get some negative numbers in there for cases such as these
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.",negative,i saw mirrormask last night and it was an unsatisfactory experience
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",negative,unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.",negative,these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.,negative,all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.",negative,it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life
"You can't relate with them, hell you barely can understand them.",negative,you cant relate with them hell you barely can understand them
This is definitely a cult classic well worth viewing and sharing with others.,positive,this is definitely a cult classic well worth viewing and sharing with others
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.",negative,this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.,negative,the fish is badly made and some of its underwater shots are repeated a thousand times in the film
"A truly, truly bad film.",negative,a truly truly bad film
"The acting is terrible, and the writing is worse.",negative,the acting is terrible and the writing is worse
The only possible way this movie could be redeemed would be as MST3K fodder.,negative,the only possible way this movie could be redeemed would be as mstk fodder
I paid too much.,negative,i paid too much
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.",positive,also its a real treat to see anthony quinn playing crazy horse
It was so BORING!,negative,it was so boring
No plot whatsoever!,negative,no plot whatsoever
"Again, no plot at all.",negative,again no plot at all
Horrible!,negative,horrible
Worst hour and a half of my life!Oh my gosh!,negative,worst hour and a half of my lifeoh my gosh
I had to walk out of the theatre for a few minutes just to get some relief!,negative,i had to walk out of the theatre for a few minutes just to get some relief
I hate movies like that.,negative,i hate movies like that
"Yeah, the movie pretty much sucked.",negative,yeah the movie pretty much sucked
THERE IS NO PLOT OR STORYLINE!!,negative,there is no plot or storyline
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.",negative,if you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out
Awful.,negative,awful
I don't think I've ever gone to a movie and disliked it as much.,negative,i dont think ive ever gone to a movie and disliked it as much
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.,negative,it was a good thing that the tickets only cost five dollars because i would be mad if id have paid to see this crap
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).,negative,nobody identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.",negative,this is a bad film with bad writing and good actorsan ugly cartoon crafted by paul haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.",negative,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.",positive,still i do like this movie for its empowerment of women theres not enough movies out there like this one
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.,negative,your brain will attempt to shutdown as part of a primal impulse of selfpreservation
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.,negative,i was left shattered from the experience of watching this film and i took a good two hours to fully recover
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.,negative,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films
I certainly do not mean this distinction in a good way.,negative,i certainly do not mean this distinction in a good way
I mean this in a terrible way.,negative,i mean this in a terrible way
This film has no redeeming features.,negative,this film has no redeeming features
Everything is appalling.,negative,everything is appalling
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.",negative,artless camerawork endlessly presents us with the ugliest setting imaginable ie
The story is beyond stupid.,negative,the story is beyond stupid
The script iswas there a script?,negative,the script is was there a script
The kids are annoying.,negative,the kids are annoying
The lead man is charisma-free.,negative,the lead man is charismafree
"Utterly without merit on any level, this is akin to torture.",negative,utterly without merit on any level this is akin to torture
I'll even say it again  this is torture.,negative,ill even say it again this is torture
Maybe there would be a reasonable explanation for this atrocity.,negative,maybe there would be a reasonable explanation for this atrocity
Not a pleasant voyage of self-discovery.,negative,not a pleasant voyage of selfdiscovery
Highly unrecommended.,negative,highly unrecommended
"If this premise sound stupid, that's because it is.",negative,if this premise sound stupid thats because it is
"Yes, it's that bad.",negative,yes its that bad
Nothing at all to recommend.,negative,nothing at all to recommend
An excellent performance from Ms.,positive,an excellent performance from ms
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.",positive,garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesnt seem to be stocking them
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.,positive,its also great to see that renowned silent screenwriter frances marion hasnt missed a step going from silent to sound
"This movie suffered because of the writing, it needed more suspense.",negative,this movie suffered because of the writing it needed more suspense
There were too many close ups.,negative,there were too many close ups
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.,negative,but other than that the movie seemed to drag and the heroes didnt really work for their freedom
But this movie is definitely a below average rent.,negative,but this movie is definitely a below average rent
"""You'll love it!",positive,youll love it
This movie is BAD.,negative,this movie is bad
So bad.,negative,so bad
The film is way too long.,negative,the film is way too long
This is definitely one of the bad ones.,negative,this is definitely one of the bad ones
The movie I received was a great quality film for it's age.,positive,the movie i received was a great quality film for its age
John Wayne did an incredible job for being so young in the movie industry.,positive,john wayne did an incredible job for being so young in the movie industry
His on screen presence shined thought even though there were other senior actors on the screen with him.,positive,his on screen presence shined thought even though there were other senior actors on the screen with him
I think that it is a must see older John Wayne film.,positive,i think that it is a must see older john wayne film
I really don't see how anyone could enjoy this movie.,negative,i really dont see how anyone could enjoy this movie
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.,negative,i dont think ive ever seen a movie half as boring as this selfindulgent piece of junk
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.",negative,it probably would have been better if the director hadnt spent most of the movie showcasing his own art work which really isnt that noteworthy
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.",negative,another thing i didnt really like is when a character got punched in the face a gallon of blood would spew forth soon after
Jamie Foxx absolutely IS Ray Charles.,positive,jamie foxx absolutely is ray charles
His performance is simply genius.,positive,his performance is simply genius
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.",positive,he owns the film just as spacek owned coal miners daughter and quaid owned great balls of fire
""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.",positive,in fact its hard to remember that the part of ray charles is being acted and not played by the man himself
Ray Charles is legendary.,positive,ray charles is legendary
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.",positive,ray charles life provided excellent biographical material for the film which goes well beyond being just another movie about a musician
Hitchcock is a great director.,positive,hitchcock is a great director
Ironically I mostly find his films a total waste of time to watch.,negative,ironically i mostly find his films a total waste of time to watch
"Secondly, Hitchcock pretty much perfected the thriller and chase movie.",positive,secondly hitchcock pretty much perfected the thriller and chase movie
It's this pandering to the audience that sabotages most of his films.,negative,its this pandering to the audience that sabotages most of his films
Hence the whole story lacks a certain energy.,negative,hence the whole story lacks a certain energy
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.",negative,the plot simply rumbles on like a machine desperately depending on the addition of new scenes
There are the usual Hitchcock logic flaws.,negative,there are the usual hitchcock logic flaws
Mishima is extremely uninteresting.,negative,mishima is extremely uninteresting
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.",negative,this is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.,negative,the flat reenactments dont hold your attention because they are emotionally adrift and stagy
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.",negative,and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc
"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.",negative,he can bore you to pieces and kill the momentum of a movie quicker than anyone else
"Schrader has made a resume full of lousy, amateurish films.",negative,schrader has made a resume full of lousy amateurish films
"When I first watched this movie, in the 80s, I loved it.",positive,when i first watched this movie in the s i loved it
"I was totally fascinated by the music, the dancing... everything.",positive,i was totally fascinated by the music the dancing everything
"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.",negative,however i recently watched the whole thing again on dvd and i was completely struck by how extremely stupid the storyline was how it contained holes inconsistencies and frankly a whole lot of crap and how horrid the dancing was
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.",negative,i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic
The character developments also lacked in depth.,negative,the character developments also lacked in depth
"Woa, talk about awful.",negative,woa talk about awful
Do not waste your time.,negative,do not waste your time
It was just too horrible.,negative,it was just too horrible
"The worst, sappiest dialogue... I could go on and on.",negative,the worst sappiest dialogue i could go on and on
But what really made it unwatchable was the direction.,negative,but what really made it unwatchable was the direction
The poor actors.,negative,the poor actors
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.,negative,you cant even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action
If you check the director's filmography on this site you will see why this film didn't have a chance.,negative,if you check the directors filmography on this site you will see why this film didnt have a chance
This would not even be good as a made for TV flick.,negative,this would not even be good as a made for tv flick
"If good intentions made a film great, then this film might be one of the greatest films ever made.",positive,if good intentions made a film great then this film might be one of the greatest films ever made
"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.",positive,the film has great actors a master director a significant themeat least a wouldbe significant theme undertone of fifties existential worldweariness aerial scenes that ought to have thrilled both senses and imagination and characters about which one might deeply care
"Regrettably, the film fails.",negative,regrettably the film fails
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.",negative,the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underlines the narrative
No actress has been worse used that June Allison in this movie.,negative,no actress has been worse used that june allison in this movie
"Yet, I enjoy watching it.",positive,yet i enjoy watching it
"Unfortunately, this is a bad movie that is just plain bad.",negative,unfortunately this is a bad movie that is just plain bad
"Bad script, bad direction and horrible acting make this one plain bad!",negative,bad script bad direction and horrible acting make this one plain bad
The dialogue sucked.,negative,the dialogue sucked
The cinematography-if it can be called that-sucked.,negative,the cinematographyif it can be called thatsucked
The soundtrack sucked.,negative,the soundtrack sucked
The acting sucked.,negative,the acting sucked
The concert sequences just sucked.,negative,the concert sequences just sucked
That was nice.,positive,that was nice
That was funny.,positive,that was funny
It was so funny.,positive,it was so funny
"Overall, this movie was cheap trash.",negative,overall this movie was cheap trash
"But this movie is not funny, considering the ridiculousness of it.",negative,but this movie is not funny considering the ridiculousness of it
I came out of it feeling angry.,negative,i came out of it feeling angry
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.",positive,spoilers whatever else can or cant be said about it surface is superbly crafted
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.,positive,the cinematography is simply stunning to say the least and the fx are nothing if not stateoftheart
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).",positive,conceptually the show offers a little bit of everything and for just about everybody parents kids fantasy andor fx fans
"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.",positive,and there wasnt a single sour note struck actingwise either some surprisingly solid casting here
"All things considered, a job very well done.",positive,all things considered a job very well done
Thanks good a movie like this was done and released.,positive,thanks good a movie like this was done and released
"One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.",positive,one of the best mexican movies ever and one of the less understood even by mexican themselves no matter how identified the should have felt with it
"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.",positive,it ranks highly as a great noircrimedrama incredible performances by belmondo and lino ventura
"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.",positive,the attention given to every character and complex psychological portrayals detailing loyalty treachery love and hope are tremendous
"It is an excellent drama, an excellent thriller, and an excellent film.",positive,it is an excellent drama an excellent thriller and an excellent film
Up there with the best of Melville.,positive,up there with the best of melville
Everything about this film is simply incredible.,positive,everything about this film is simply incredible
You truly take this journey through the eyes and soul of a child.,positive,you truly take this journey through the eyes and soul of a child
BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.,positive,black water is a thriller that manages to completely transcend its limitations its an indie flick by continually subverting expectations to emerge as an intense experience
"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.",positive,the performances are real and gripping the crocdodile is extremely well done indeed if the black water website is to be believed thats because they used real crocs and the swamp location is fabulous
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.,positive,i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series
I'm not sure what he was trying to do with this film.,negative,im not sure what he was trying to do with this film
If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.,negative,if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded
There is a lot of beautiful places.,positive,there is a lot of beautiful places
"It was forced, like everything in this movie.",negative,it was forced like everything in this movie
"Again, lame.",negative,again lame
Here's where the movie really pi**ed me off.,negative,heres where the movie really pied me off
And don't even get me started on the jerky camerawork.,negative,and dont even get me started on the jerky camerawork
When I saw it in the theater I thought I was going to be sick.,negative,when i saw it in the theater i thought i was going to be sick
Summary: The witticisms weren't witty.,negative,summary the witticisms werent witty
"The plot - well, I said I'd let that one go.",negative,the plot well i said id let that one go
The acting was bad.,negative,the acting was bad
Really bad.,negative,really bad
